path,resource count,relation count,codebase resources not deployed,codebase resources requires review,discovered packages total,codebase relations dwarf compiled paths,codebase relations dwarf included paths,codebase resources discrepancies total,dwarf compiled paths not mapped total,dwarf included paths not mapped total,from download url,to download url
data/archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/a/aerc-debugsource-0.17.0-5.fc40.x86_64/d2d-details.json,1248,749,208,3,8,2,747,3,369,642,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/aerc-debugsource-0.17.0-5.fc40.x86_64.rpm#from,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/aerc-debuginfo-0.17.0-5.fc40.x86_64.rpm#to
data/archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/a/asnmap-debugsource-1.0.6-4.fc40.x86_64/d2d-details.json,34,11,,1,0,,11,1,340,1416,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/asnmap-debugsource-1.0.6-4.fc40.x86_64.rpm#from,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/asnmap-debuginfo-1.0.6-4.fc40.x86_64.rpm#to
data/archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/a/age-debugsource-1.1.1-5.fc40.x86_64/d2d-details.json,48,21,,2,2,,21,2,207,714,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/age-debugsource-1.1.1-5.fc40.x86_64.rpm#from,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/age-debuginfo-1.1.1-5.fc40.x86_64.rpm#to
data/archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/a/autorestic-debugsource-1.8.1-1.fc40.x86_64/d2d-details.json,55,28,1,1,1,,28,1,206,774,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/autorestic-debugsource-1.8.1-1.fc40.x86_64.rpm#from,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/autorestic-debuginfo-1.8.1-1.fc40.x86_64.rpm#to
data/archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/3/3mux-debugsource-1.1.0-13.fc40.x86_64/d2d-details.json,68,60,6,2,0,,60,2,200,788,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/3/3mux-debugsource-1.1.0-13.fc40.x86_64.rpm#from,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/3/3mux-debuginfo-1.1.0-13.fc40.x86_64.rpm#to
data/archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/3/389-ds-base-debugsource-3.0.1-2.fc40.x86_64/d2d-details.json,1060,1095,286,44,11,306,789,44,140,815,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/3/389-ds-base-debugsource-3.0.1-2.fc40.x86_64.rpm#from,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/3/389-ds-base-debuginfo-3.0.1-2.fc40.x86_64.rpm#to
data/archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/a/assetfinder-debugsource-0.1.0-13.fc40.x86_64/d2d-details.json,31,11,1,1,0,,11,1,130,546,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/assetfinder-debugsource-0.1.0-13.fc40.x86_64.rpm#from,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/assetfinder-debuginfo-0.1.0-13.fc40.x86_64.rpm#to
data/archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/b/bcftools-debugsource-1.15.1-8.fc40.x86_64/d2d-details.json,214,239,,40,2,39,200,40,78,212,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/b/bcftools-debugsource-1.15.1-8.fc40.x86_64.rpm#from,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/b/bcftools-debuginfo-1.15.1-8.fc40.x86_64.rpm#to
data/archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/f/freeradius-debugsource-3.2.3-4.fc40.x86_64/d2d-details.json,465,1914,34,59,15,156,1758,59,77,227,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/f/freeradius-debugsource-3.2.3-4.fc40.x86_64.rpm#from,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/f/freeradius-debuginfo-3.2.3-4.fc40.x86_64.rpm#to
data/archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/a/alliance-debugsource-5.1.1-33.20160506gitd8c05cd.fc40.x86_64/d2d-details.json,2275,1606,695,43,4,145,1461,43,75,351,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/alliance-debugsource-5.1.1-33.20160506gitd8c05cd.fc40.x86_64.rpm#from,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/alliance-debuginfo-5.1.1-33.20160506gitd8c05cd.fc40.x86_64.rpm#to
data/archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/f/freeipmi-debugsource-1.6.14-1.fc40.x86_64/d2d-details.json,781,1719,24,22,8,442,1277,22,74,145,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/f/freeipmi-debugsource-1.6.14-1.fc40.x86_64.rpm#from,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/f/freeipmi-debuginfo-1.6.14-1.fc40.x86_64.rpm#to
data/archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/b/baresip-debugsource-3.10.1-1.fc40.x86_64/d2d-details.json,446,175,77,44,2,9,166,44,58,292,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/b/baresip-debugsource-3.10.1-1.fc40.x86_64.rpm#from,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/b/baresip-debuginfo-3.10.1-1.fc40.x86_64.rpm#to
data/archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/a/angelfish-debugsource-24.02.1-1.fc40.x86_64/d2d-details.json,118,128,,3,4,2,126,3,57,1506,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/angelfish-debugsource-24.02.1-1.fc40.x86_64.rpm#from,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/angelfish-debuginfo-24.02.1-1.fc40.x86_64.rpm#to
data/archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/b/babl-debugsource-0.1.106-3.fc40.x86_64/d2d-details.json,234,593,,56,6,6,587,56,56,84,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/b/babl-debugsource-0.1.106-3.fc40.x86_64.rpm#from,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/b/babl-debuginfo-0.1.106-3.fc40.x86_64.rpm#to
data/archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/a/astral-debugsource-0.1.2-7.fc40.x86_64/d2d-details.json,24,3,,1,0,,3,1,54,254,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/astral-debugsource-0.1.2-7.fc40.x86_64.rpm#from,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/astral-debuginfo-0.1.2-7.fc40.x86_64.rpm#to
data/archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/a/ax25-tools-debugsource-1.0.4-10.fc40.x86_64/d2d-details.json,180,69,14,39,5,1,68,39,48,242,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/ax25-tools-debugsource-1.0.4-10.fc40.x86_64.rpm#from,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/ax25-tools-debuginfo-1.0.4-10.fc40.x86_64.rpm#to
data/archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/a/atlas-debugsource-3.10.3-24.fc39.x86_64/d2d-details.json,3751,5389,1115,3,1,4129,1260,3,43,61,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/atlas-debugsource-3.10.3-24.fc39.x86_64.rpm#from,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/atlas-debuginfo-3.10.3-24.fc39.x86_64.rpm#to
data/archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/a/aqbanking-debugsource-6.5.4-5.fc40.x86_64/d2d-details.json,956,1219,,8,1,345,874,8,41,172,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/aqbanking-debugsource-6.5.4-5.fc40.x86_64.rpm#from,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/a/aqbanking-debuginfo-6.5.4-5.fc40.x86_64.rpm#to
data/archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/c/cinnamon-settings-daemon-debugsource-6.0.0-4.fc40.x86_64/d2d-details.json,208,172,,22,5,22,150,22,38,528,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/c/cinnamon-settings-daemon-debugsource-6.0.0-4.fc40.x86_64.rpm#from,https://archive.fedoraproject.org/pub/fedora/linux/releases/40/Everything/x86_64/debug/tree/Packages/c/cinnamon-settings-daemon-debuginfo-6.0.0-4.fc40.x86_64.rpm#to
