project_name,input_urls
ruby_jard-v0.3.1,"https://github.com/0x2c7/ruby_jard/archive/refs/tags/v0.3.1.zip#from,https://github.com/0x2c7/ruby_jard/releases/download/v0.3.1/ruby_jard-0.3.1.gem#to"
aws-sdk-core-ruby-v2.0.21,"https://github.com/amazon-archives/aws-sdk-core-ruby/archive/refs/tags/v2.0.21.zip#from,https://github.com/amazon-archives/aws-sdk-core-ruby/releases/download/v2.0.21/aws-sdk-2.0.21.pre.gem#to"
avo-v2.53.0,"https://github.com/avo-hq/avo/archive/refs/tags/v2.53.0.zip#from,https://github.com/avo-hq/avo/releases/download/v2.53.0/avo-2.53.0.gem#to"
awesome_print-v1.9.2,"https://github.com/awesome-print/awesome_print/archive/refs/tags/v1.9.2.zip#from,https://github.com/awesome-print/awesome_print/releases/download/v1.9.2/awesome_print-1.9.2.gem#to"
aws-record-ruby-v2.13.2,"https://github.com/aws/aws-record-ruby/archive/refs/tags/v2.13.2.zip#from,https://github.com/aws/aws-record-ruby/releases/download/v2.13.2/aws-record-2.13.2.gem#to"
aws-sdk-rails-v5.1.0,"https://github.com/aws/aws-sdk-rails/archive/refs/tags/v5.1.0.zip#from,https://github.com/aws/aws-sdk-rails/releases/download/v5.1.0/aws-sdk-rails-5.1.0.gem#to"
aws-sdk-ruby-v2.11.632,"https://github.com/aws/aws-sdk-ruby/archive/refs/tags/v2.11.632.zip#from,https://github.com/aws/aws-sdk-ruby/releases/download/v2.11.632/aws-sdk-2.11.632.gem#to"
riak-ruby-client-v2.6.0,"https://github.com/basho/riak-ruby-client/archive/refs/tags/v2.6.0.zip#from,https://github.com/basho/riak-ruby-client/releases/download/v2.6.0/riak-client-2.6.0.gem#to"
bcrypt-ruby-v3.1.6,"https://github.com/bcrypt-ruby/bcrypt-ruby/archive/refs/tags/v3.1.6.zip#from,https://github.com/bcrypt-ruby/bcrypt-ruby/releases/download/v3.1.6/bcrypt-3.1.6-java.gem#to"
ruby-client-v2.4.4,"https://github.com/bitpay/ruby-client/archive/refs/tags/v2.4.4.zip#from,https://github.com/bitpay/ruby-client/releases/download/v2.4.4/bitpay-sdk-2.4.4.gem#to"
dotenv-v2.7.6,"https://github.com/bkeepers/dotenv/archive/refs/tags/v2.7.6.zip#from,https://github.com/bkeepers/dotenv/releases/download/v2.7.6/dotenv-2.7.6.gem#to"
dd-trace-rb-v2.8.0,"https://github.com/DataDog/dd-trace-rb/archive/refs/tags/v2.8.0.zip#from,https://github.com/DataDog/dd-trace-rb/releases/download/v2.8.0/datadog-2.8.0.gem#to"
api-pagination-v6.0.0,"https://github.com/davidcelis/api-pagination/archive/refs/tags/v6.0.0.zip#from,https://github.com/davidcelis/api-pagination/releases/download/v6.0.0/api-pagination-6.0.0.gem#to"
recommendable-v2.2.2,"https://github.com/davidcelis/recommendable/archive/refs/tags/v2.2.2.zip#from,https://github.com/davidcelis/recommendable/releases/download/v2.2.2/recommendable-2.2.2.gem#to"
sidekiq-limit_fetch-v4.4.1,"https://github.com/deanpcmad/sidekiq-limit_fetch/archive/refs/tags/v4.4.1.zip#from,https://github.com/deanpcmad/sidekiq-limit_fetch/releases/download/v4.4.1/sidekiq-limit_fetch-4.4.1.gem#to"
discordrb-v3.3.0,"https://github.com/discordrb/discordrb/archive/refs/tags/v3.3.0.zip#from,https://github.com/discordrb/discordrb/releases/download/v3.3.0/discordrb-3.3.0.gem#to"
mini_mime-v1.1.5,"https://github.com/discourse/mini_mime/archive/refs/tags/v1.1.5.zip#from,https://rubygems.org/downloads/mini_mime-1.1.5.gem#to"
draper-v4.0.3,"https://github.com/drapergem/draper/archive/refs/tags/v4.0.3.zip#from,https://github.com/drapergem/draper/releases/download/v4.0.3/draper-4.0.3.gem#to"
easypost-ruby-v6.4.1,"https://github.com/EasyPost/easypost-ruby/archive/refs/tags/v6.4.1.zip#from,https://github.com/EasyPost/easypost-ruby/releases/download/v6.4.1/easypost-6.4.1.gem#to"
RubyTree-R2.0.3,"https://github.com/evolve75/RubyTree/archive/refs/tags/R2.0.3.zip#from,https://github.com/evolve75/RubyTree/releases/download/R2.0.3/rubytree-2.0.3.gem#to"
fastlane-2.226.0,"https://github.com/fastlane/fastlane/archive/refs/tags/2.226.0.zip#from,https://github.com/fastlane/fastlane/releases/download/2.226.0/fastlane-2.226.0.gem#to"
fastly-ruby-release/v9.0.0,"https://github.com/fastly/fastly-ruby/archive/refs/tags/release/v9.0.0.zip#from,https://github.com/fastly/fastly-ruby/releases/download/release/v9.0.0/fastly-9.0.0.gem#to"
ffi-v1.17.0,"https://github.com/ffi/ffi/archive/refs/tags/v1.17.0.zip#from,https://rubygems.org/downloads/ffi-1.17.0.gem#to"
filewatcher-v0.1.9,"https://github.com/filewatcher/filewatcher/archive/refs/tags/v0.1.9.zip#from,https://github.com/filewatcher/filewatcher/releases/download/v0.1.9/filewatcher-0.1.9.gem#to"
sentry-ruby-5.22.1,"https://github.com/getsentry/sentry-ruby/archive/refs/tags/5.22.1.zip#from,https://github.com/getsentry/sentry-ruby/releases/download/5.22.1/sentry-delayed_job-5.22.1.gem#to"
rubocop-github-v0.19.0,"https://github.com/github/rubocop-github/archive/refs/tags/v0.19.0.zip#from,https://github.com/github/rubocop-github/releases/download/v0.19.0/rubocop-github-0.19.0.gem#to"
google-api-ads-ruby-ad_manager_api-3.3.0,"https://github.com/googleads/google-api-ads-ruby/archive/refs/tags/ad_manager_api-3.3.0.zip#from,https://github.com/googleads/google-api-ads-ruby/releases/download/ad_manager_api-3.3.0/google-dfp-api-3.3.0.gem#to"
XSpear-1.4.1,"https://github.com/hahwul/XSpear/archive/refs/tags/1.4.1.zip#from,https://github.com/hahwul/XSpear/releases/download/1.4.1/XSpear-1.4.1.gem#to"
diff-lcs-v1.5.1,"https://github.com/halostatue/diff-lcs/archive/refs/tags/v1.5.1.zip#from,https://rubygems.org/downloads/diff-lcs-1.5.1.gem#to"
vagrant-2.4.4.dev+000330-216835c0,"https://github.com/hashicorp/vagrant/archive/refs/tags/2.4.4.dev+000330-216835c0.zip#from,https://github.com/hashicorp/vagrant/releases/download/2.4.4.dev%2B000330-216835c0/vagrant-2.4.4.dev.gem#to"
holidays-v8.6.0,"https://github.com/holidays/holidays/archive/refs/tags/v8.6.0.zip#from,https://github.com/holidays/holidays/releases/download/v8.6.0/holidays-8.6.0.gem#to"
multi_json-v1.15.0,"https://github.com/intridea/multi_json/archive/refs/tags/v1.15.0.zip#from,https://rubygems.org/downloads/multi_json-1.15.0.gem#to"
unicode-display_width-v3.1.2,"https://github.com/janlelis/unicode-display_width/archive/refs/tags/v3.1.2.zip#from,https://rubygems.org/downloads/unicode-display_width-3.1.2.gem#to"
tilt-v2.4.0,"https://github.com/jeremyevans/tilt/archive/refs/tags/v2.4.0.zip#from,https://rubygems.org/downloads/tilt-2.4.0.gem#to"
jmespath.rb-v1.6.2,"https://github.com/jmespath/jmespath.rb/archive/refs/tags/v1.6.2.zip#from,https://rubygems.org/downloads/jmespath-1.6.2.gem#to"
jsonapi-serializer-v1.7.2,"https://github.com/jsonapi-serializer/jsonapi-serializer/archive/refs/tags/v1.7.2.zip#from,https://github.com/jsonapi-serializer/jsonapi-serializer/releases/download/v1.7.2/fast_jsonapi-1.7.2.gem#to"
ruby-jwt-v2.9.3,"https://github.com/jwt/ruby-jwt/archive/refs/tags/v2.9.3.zip#from,https://rubygems.org/downloads/jwt-2.9.3.gem#to"
kontena-v1.5.2,"https://github.com/kontena/kontena/archive/refs/tags/v1.5.2.zip#from,https://github.com/kontena/kontena/releases/download/v1.5.2/kontena-cli-1.5.2.gem#to"
