project_name,input_urls
artichoke-nightly-2025-01-01,"https://github.com/artichoke/nightly/archive/refs/tags/nightly-2025-01-17.tar.gz#from,https://github.com/artichoke/nightly/releases/download/nightly-2025-01-17/artichoke-nightly-x86_64-unknown-linux-gnu.tar.gz#to"
telemetry-parser-v0.3.0,"https://github.com/AdrianEddy/telemetry-parser/archive/refs/tags/v0.3.0.tar.gz#from,https://github.com/AdrianEddy/telemetry-parser/releases/download/v0.3.0/gyro2bb-linux64#to"
fishnet-v2.9.4,"https://github.com/lichess-org/fishnet/archive/refs/tags/v2.9.4.tar.gz#from,https://github.com/lichess-org/fishnet/releases/download/v2.9.4/fishnet-x86_64-unknown-linux-musl#to"
boa-v0.20,"https://github.com/boa-dev/boa/archive/refs/tags/v0.20.tar.gz#from,https://github.com/boa-dev/boa/releases/download/v0.20/boa-linux-amd64#to"
qdrant-v1.12.6,"https://github.com/qdrant/qdrant/archive/refs/tags/v1.12.6.tar.gz#from,https://github.com/qdrant/qdrant/releases/download/v1.12.6/qdrant-x86_64-unknown-linux-musl.tar.gz#to"
zrtstr-v0.2.0,"https://github.com/indiscipline/zrtstr/archive/refs/tags/v0.2.0.tar.gz#from,https://github.com/indiscipline/zrtstr/releases/download/v0.2.0/zrtstr-x86_64-unknown-linux-gnu.tar.gz#to"
csync-v0.4.0,"https://github.com/fioncat/csync/archive/refs/tags/v0.4.0.tar.gz#from,https://github.com/fioncat/csync/releases/download/v0.4.0/csync-x86_64-unknown-linux-musl.tar.gz#to"
kingwingfly-gpt-v0.0.6,"https://github.com/kingwingfly/gpt/archive/refs/tags/v0.0.6.tar.gz#from,https://github.com/kingwingfly/gpt/releases/download/v0.0.6/gpt_cli-v0.0.6-x86_64-unknown-linux-gnu.tar.gz#to"
md5rs-client-v0.1.3,"https://github.com/simulacraliasing/md5rs-client/archive/refs/tags/v0.1.3.tar.gz#from,https://github.com/simulacraliasing/md5rs-client/releases/download/v0.1.3/md5rs-client-x86_64-unknown-linux-gnu.tar.gz#to"
tandoor_importer-v2.0.0,"https://github.com/timkolloch/tandoor_importer/archive/refs/tags/v2.0.0.tar.gz#from,https://github.com/timkolloch/tandoor_importer/releases/download/v2.0.0/tandoor_importer_x86_64-unknown-linux-gnu_v2.0.0.tar.gz#to"
hibiki-v0.1.1,"https://github.com/gh-efforts/hibiki/archive/refs/tags/v0.1.1.tar.gz#from,https://github.com/gh-efforts/hibiki/releases/download/v0.1.1/hibiki-x86_64-unknown-linux-gnu.tar.gz#to"
cargo-chef-v0.1.70,"https://github.com/LukeMathWalker/cargo-chef/archive/refs/tags/v0.1.70.tar.gz#from,https://github.com/LukeMathWalker/cargo-chef/releases/download/v0.1.70/cargo-chef-x86_64-unknown-linux-musl.tar.gz#to"
dns_probe-v0.1.4,"https://github.com/zaczh/dns_probe/archive/refs/tags/v0.1.4.tar.gz#from,https://github.com/zaczh/dns_probe/releases/download/v0.1.4/dns_probe-x86_64-unknown-linux-musl.tar.gz#to"
Imgcatr-v0.1.4,"https://github.com/SilinMeng0510/imgcatr/archive/refs/tags/v0.1.4.tar.gz#from,https://github.com/SilinMeng0510/imgcatr/releases/download/v0.1.4/imgcatr-x86_64-unknown-linux-gnu.tar.gz#to"
register-rs-v0.10.1,"https://github.com/Smalands-Nation/register-rs/archive/refs/tags/v0.10.1.tar.gz#from,https://github.com/Smalands-Nation/register-rs/releases/download/v0.10.1/smalands-rs-x86_64-unknown-linux-gnu.tar.gz#to"
octogit-2.2.0,"https://github.com/Axlefublr/octogit/archive/refs/tags/2.2.0.tar.gz#from,https://github.com/Axlefublr/octogit/releases/download/2.2.0/octogit-x86_64-unknown-linux-gnu.tar.gz#to"
ffmpeg-loudnorm-helper-v0.2.1,"https://github.com/indiscipline/ffmpeg-loudnorm-helper/archive/refs/tags/v0.2.1.tar.gz#from,https://github.com/indiscipline/ffmpeg-loudnorm-helper/releases/download/v0.2.1/ffmpeg-lh-x86_64-unknown-linux-gnu.tar.gz#to"
sns-archive-v0.4.0,"https://github.com/evanc577/sns-archive/archive/refs/tags/v0.4.0.tar.gz#from,https://github.com/evanc577/sns-archive/releases/download/v0.4.0/sns-archive-x86_64-unknown-linux-gnu.tar.gz#to"
ipobf-0.1.0,"https://github.com/JorianWoltjer/ipobf/archive/refs/tags/0.1.0.tar.gz#from,https://github.com/JorianWoltjer/ipobf/releases/download/0.1.0/ipobf-x86_64-unknown-linux-gnu.tar.gz#to"
pure-be-v0.2.0,"https://github.com/17ms/pure-be/archive/refs/tags/v0.2.0.tar.gz#from,https://github.com/17ms/pure-be/releases/download/v0.2.0/pure-be-x86_64-unknown-linux-gnu.tar.gz#to"
nit-v0.1.4,"https://github.com/hisamafahri/nit/archive/refs/tags/v0.1.4.tar.gz#from,https://github.com/hisamafahri/nit/releases/download/v0.1.4/nit-x86_64-unknown-linux-gnu.tar.gz#to"
gof2edit-v0.10.5,"https://github.com/Ravernstal/gof2edit/archive/refs/tags/v0.10.5.tar.gz#from,https://github.com/Ravernstal/gof2edit/releases/download/v0.10.5/gof2edit-v0.10.5-x86_64-unknown-linux-gnu.tar.gz#to"
todoist-rs-v0.0.6,"https://github.com/illiteratewriter/todoist-rs/archive/refs/tags/v0.0.6.tar.gz#from,https://github.com/illiteratewriter/todoist-rs/releases/download/v0.0.6/todoist-x86_64-unknown-linux-gnu.tar.gz#to"
mcping-v0.2.0,"https://github.com/IoanThomas/mcping/archive/refs/tags/v0.2.0.tar.gz#from,https://github.com/IoanThomas/mcping/releases/download/v0.2.0/mcping-v0.2.0-x86_64-unknown-linux-gnu.tar.gz#to"
energyleaf-pi-v0.6.0,"https://github.com/pgenergy/energyleaf-pi/archive/refs/tags/v0.6.0.tar.gz#from,https://github.com/pgenergy/energyleaf-pi/releases/download/v0.6.0/energyleaf-pi-x86_64-unknown-linux-gnu.tar.gz#to"
