"project","path","type","name","status","for_packages","tag","extension","size","md5","sha1","sha256","sha512","mime_type","file_type","programming_language","is_binary","is_text","is_archive","is_media","is_legal","is_manifest","is_readme","is_top_level","is_key_file","detected_license_expression","detected_license_expression_spdx","license_detections","license_clues","percentage_of_license_text","compliance_alert","copyrights","holders","authors","package_data","emails","urls","extra_data","xlsx_errors"
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/checksums.yaml.gz","file","checksums.yaml.gz","requires-review",,"to",".gz","296","d53f94de8ed9fbe71241e07b7f8b2f66","70a923308b9760a2ba54203b7f8c52d54f026356","af107f5b4544ad1f767eea4a6b81a54809347739de136681c23e117c52391ff1",,"application/gzip","gzip compressed data, last modified: Wed Jan 1 19:33:25 2025, max compression, from Unix, original size modulo 2^32 468",,"True",,"True",,,,,,,,,,,,,,,,,,,,
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/checksums.yaml.gz-extract/checksums.yaml.gz-extract","file","checksums.yaml.gz-extract","requires-review",,"to",".gz-extract","468","da47b62e96a7258ee663a791ac9d9108","df4ce5170d4d3d4548eba48449324600d7c63b8d","aafef45175685e6b9f61a973842b96d1ef816b0adf33d4a3d0c55e43dd53f6c0",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz","file","data.tar.gz","requires-review",,"to",".tar.gz","5230538","dfdcfab999697d840abc6bfc3c3de00e","2e87b7dfcfa3f8f8a26f871c9e9c6cc0af67aa83","02fa61eeb38f0fa1eaae3db1a0e92582d1f4d429e6040ed877463bfd41d42277",,"application/gzip","gzip compressed data, last modified: Wed Jan 1 19:33:25 2025, max compression, from Unix, original size modulo 2^32 24088064",,"True",,"True",,,,,,,,,,,,,,,,,,,,
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz-extract/build/test/dependencies/AdcConductor.d","file","AdcConductor.d","requires-review",,"to",".d","140","381ddec559742f006a568652ee9135f6","2f5b657d3bd8a46cdccdf543e748f72abfee8dbe","0eb996d0d9fc0ae04c3df91650d11ceb88a93912a7d7f87fc7f13759a5d39b19",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz-extract/build/test/dependencies/AdcHardware.d","file","AdcHardware.d","requires-review",,"to",".d","163","a2b364880e4f194b351fc6ec4a8c285b","9121f6f3ac0bd2e4f5aaba0b3973f4ecf72f11c9","4996f17e7dc633a5c9589bf218470b8830e90008c0bbf4d6d1bcb19adc4a6c25",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz-extract/build/test/dependencies/AdcModel.d","file","AdcModel.d","requires-review",,"to",".d","166","f117e3ad1e7923cbf341de39bfdc30c7","4e56cc80aaec6902951600b43c794f987c1a0346","84bf8901d65243e9957f0ce88b1ed9691a5d13a5a7ece039c61e5430a623e945",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz-extract/build/test/dependencies/cmock.d","file","cmock.d","requires-review",,"to",".d","265","312cbe6422486fde990b89fc4c945109","2e0ffc8f3707d3530fd00a05937ecad342659dda","ec5a3d8683b05b9849f2dba02feadded7ef4dcd302537726ebad573356c515fb",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz-extract/build/test/dependencies/Executor.d","file","Executor.d","requires-review",,"to",".d","191","9fa56ad2a3a0da884508f3a297bf14e7","23b7e00a626ac4c10cc6c52fa1a636d4b703c8a7","839417cf362239636c322d9c751ea43b7a041062fcf77d5b586241ae2d0acd3d",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz-extract/build/test/dependencies/Main.d","file","Main.d","requires-review",,"to",".d","634","f860b4e7fef6b4431a3873b692c758d3","28189b0f79a541d66661c2c1abcc38b74a72adbb","8ea57560e4a35600b5bd6376166e1859d9ccb47a9ae917481be411149c5d013f",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
"Ceedling-1.0.0-13d0e3d 250113_182057-v2","to/data.tar.gz-extract/build/test/dependencies/MockAdcConductor.d","file","MockAdcConductor.d","requires-review",,"to",".d","522","7b05e27405e0d7854c12c8144eba205a","807196ebb4f68ab2bb3dc3102c0f059e924e2959","a26df9474d21174c7ae80ee769379ed9473ac24c70d4fa4e54c0ebfa3575fd66",,"text/plain","ASCII text",,,"True",,,,,,,,,,,,,,,,,,,,,
